City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,4.71,94,99,1.54,GL,1690395382
1,mambajao,9.2504,124.7156,27.66,80,100,3.84,PH,1690394949
2,iqaluit,63.7506,-68.5145,7.61,81,97,1.79,CA,1690395180
3,papatowai,-46.5619,169.4708,5.42,90,100,12.14,NZ,1690395379
4,blackmans bay,-43.0167,147.3167,9.83,83,100,2.5,AU,1690395415
5,whitehorse,60.7161,-135.0538,17.12,77,75,1.03,CA,1690395179
6,mae sot,16.7167,98.5667,22.85,96,48,1.61,TH,1690394950
7,port-aux-francais,-49.35,70.2167,5.47,82,92,20.2,TF,1690395422
8,grytviken,-54.2811,-36.5092,-1.58,95,95,3.9,GS,1690395422
9,vorgashor,67.5833,63.95,14.75,89,96,3.93,RU,1690395422
10,saldanha,-33.0117,17.9442,12.7,86,88,2.4,ZA,1690395422
11,cocoa beach,28.32,-80.6076,33.92,73,75,4.63,US,1690394952
12,waitangi,-43.9535,-176.5597,9.54,58,100,9.02,NZ,1690395423
13,mount pearl,47.5166,-52.7813,29.19,42,40,6.69,CA,1690395410
14,badger,64.8,-147.5333,22.99,74,75,2.06,US,1690395376
15,mersa matruh,31.3525,27.2453,28.2,71,0,3.56,EG,1690394953
16,bethel,41.3712,-73.414,31.08,60,0,4.12,US,1690395424
17,colonia,50.9333,6.95,22.2,47,0,5.66,DE,1690394953
18,portland,45.5234,-122.6762,24.23,60,20,4.63,US,1690395175
19,avarua,-21.2078,-159.775,20.03,94,100,1.03,CK,1690395393
20,kidal,18.4411,1.4078,37.93,22,64,6.08,ML,1690394954
21,udachny,66.4167,112.4,16.92,77,100,2.48,RU,1690395402
22,vadso,70.0744,29.7487,11.49,93,100,2.57,NO,1690395426
23,invercargill,-46.4,168.35,6.07,80,97,11.63,NZ,1690395427
24,uturoa,-16.7333,-151.4333,25.52,85,45,4.54,PF,1690395427
25,albany,42.6001,-73.9662,30.57,61,7,0.89,US,1690395319
26,sisimiut,66.9395,-53.6735,8.13,77,37,3.96,GL,1690395427
27,talnakh,69.4865,88.3972,19.56,64,11,1.16,RU,1690395428
28,codrington,-38.2667,141.9667,7.82,81,79,5.51,AU,1690394955
29,turpan,42.9333,89.1667,38.69,11,22,2.62,CN,1690394956
30,hawaiian paradise park,19.5933,-154.9731,23.73,97,75,3.6,US,1690395429
31,hino,35.6731,139.4003,28.97,74,0,0.45,JP,1690394956
32,edinburgh of the seven seas,-37.0676,-12.3116,10.43,52,88,8.12,SH,1690395426
33,port augusta,-32.5,137.7667,8.98,59,0,1.86,AU,1690394957
34,anzio,41.4853,12.6179,26.67,56,50,5.6,IT,1690394957
35,penticton,49.4806,-119.5858,24.21,36,1,1.5,CA,1690394957
36,sitka,57.0531,-135.33,14.94,88,100,0.0,US,1690395433
37,celestun,20.8667,-90.4,31.31,64,73,6.7,MX,1690395433
38,anadyr,64.75,177.4833,10.28,93,75,3.58,RU,1690395433
39,enewetak,11.3474,162.3373,28.19,74,95,7.01,MH,1690395433
40,bijie,27.3125,105.2942,19.18,99,100,1.17,CN,1690394959
41,tionk essil,12.7856,-16.5217,28.54,75,98,4.23,SN,1690394959
42,fort st. john,56.2499,-120.8529,12.94,100,100,6.17,CA,1690395434
43,kodiak,57.79,-152.4072,12.73,94,100,1.54,US,1690395434
44,suizhou,31.7111,113.3631,25.57,86,60,0.86,CN,1690394960
45,verkhovazh'ye,60.7472,42.0465,16.74,98,100,2.04,RU,1690394960
46,kabin buri,13.9511,101.7177,26.95,100,91,1.06,TH,1690394960
47,shihezi,44.3,86.0333,30.16,14,41,2.72,CN,1690394961
48,st. john's,47.5649,-52.7093,29.66,42,40,7.2,CA,1690394928
49,bredasdorp,-34.5322,20.0403,9.96,89,98,2.87,ZA,1690395435
50,adamstown,-25.066,-130.1015,19.93,72,81,8.81,PN,1690395379
51,remire-montjoly,4.9167,-52.2667,27.02,89,75,1.54,GF,1690394961
52,manggar,-2.8833,108.2667,27.16,81,47,4.95,ID,1690394962
53,lucapa,-8.4192,20.7447,25.21,24,3,1.04,AO,1690394962
54,ubari,26.5921,12.7805,36.98,7,0,4.66,LY,1690394962
55,paracuru,-3.41,-39.0306,27.28,57,7,7.54,BR,1690394963
56,jiuquan,39.7432,98.5174,26.23,29,96,1.56,CN,1690394963
57,ust-nera,64.5667,143.2,10.75,88,93,3.75,RU,1690395435
58,nelson bay,-32.7167,152.15,10.56,98,0,4.02,AU,1690394963
59,vernal,40.4555,-109.5287,28.84,28,0,1.54,US,1690394675
